"Format name"	"Starting value for format"	"Ending value for format"	"Format value label"
PROD	340	340	340 - THERMOSTATS (FOR HEATING OR COOLING SYSTEMS)
PROD	342	342	342 - FIREPLACES, NOT SPECIFIED
PROD	346	346	346 - ELECTRIC FIREPLACES, FACTORY BUILT
PROD	348	348	348 - PORTABLE ELECTRIC HEATERS
PROD	365	365	365 - HEAT PUMPS
PROD	366	366	366 - CATALYTIC HEATERS
PROD	367	367	367 - COAL OR WOOD-BURNING STOVES
PROD	368	368	368 - GASOLINE HEATERS (NONCATALYTIC)
PROD	369	369	369 - OTHER HEATERS OR HEATING SYSTEMS
PROD	370	370	370 - HEATERS OR HEATING SYSTEMS, NOT SPECIFIED
PROD	371	371	371 - DUCTWORK FOR HEATING OR COOLING SYSTEMS
PROD	372	372	372 - BRICK, STONE OR MASONRY CHIMNEYS
PROD	373	373	373 - METAL CHIMNEYS, STOVEPIPES OR FLUES
PROD	374	374	374 - PIPES (EXCLUDING SMOKING PIPES)
PROD	378	378	378 - CHIMNEYS, NOT SPECIFIED
PROD	379	379	379 - RADIATORS (EXCLUDING VEHICLE RADIATORS)
PROD	380	380	380 - FANS
PROD	381	381	381 - AIR CONDITIONERS
PROD	384	384	384 - FLOOR FURNACES (BUILT INTO FLOOR)
PROD	386	386	386 - GAS OR LP FLOOR OR WALL HEATERS
PROD	388	388	388 - ELECTRIC HEATERS, NOT ELSEWHERE CLASSIFIED
PROD	389	389	389 - GAS OR LP HEATERS, NOT ELSEWHERE CLASSIFIED
PROD	390	390	390 - HEAT TAPES, ELECTRIC
PROD	391	391	391 - PORTABLE GAS OR LP HEATERS
PROD	392	392	392 - GAS OR LP HEATERS, OTHER OR NOT SPECIFIED
PROD	393	393	393 - HEATERS OR HEATING SYSTEMS, OTHER OR NOT SPECIFIED
PROD	394	394	394 - OUTDOOR PATIO HEATERS OR FIREPITS (MANUFACTURED)
PROD	399	399	399 - KEROSENE OR OIL HEATERS
PROD	401	401	401 - NONELECTRIC CAN OPENERS
PROD	405	405	405 - UNPOWERED COFFEE MAKERS OR TEAPOTS
PROD	408	408	408 - IRONING BOARDS OR COVERS
PROD	412	412	412 - PRESSURE COOKERS OR CANNERS
PROD	413	413	413 - WASTE CONTAINERS, TRASH BASKETS OR REFUSE BINS
PROD	416	416	416 - CORKSCREWS
PROD	417	417	417 - FLATWARE (EXCL. KNIVES)
PROD	419	419	419 - TIE RACKS, BELT RACKS OR OTHER CLOTHES HANGERS
PROD	420	420	420 - MANUAL SCISSORS
PROD	421	421	421 - NONELECTRIC KNIFE SHARPENERS
PROD	422	422	422 - BOTTLE OPENERS
PROD	424	424	424 - GLASS DRINKING GLASSES
PROD	427	427	427 - ICE PICKS
PROD	428	428	428 - KITCHEN GADGETS, NOT ELSEWHERE CLASSIFIED
PROD	429	429	429 - FOOD SKEWERS
PROD	431	431	431 - TOOTHPICKS OR HORS D'OEUVRES PICKS
PROD	432	432	432 - TRAYS (EXCL. FOOD WARMERS)
PROD	434	434	434 - DOORSTOPS
PROD	435	435	435 - KITCHEN MIXING BOWLS, CANISTERS OR SIMILAR CONTAINERS
PROD	436	436	436 - POTHOLDERS, OVEN MITTS OR HOT PADS
PROD	438	438	438 - LAUNDRY BASKETS
PROD	443	443	443 - DRINKING STRAWS
PROD	444	444	444 - KNIFE SHARPENERS, NOT SPECIFIED
PROD	450	450	450 - SCISSORS, NOT SPECIFIED
PROD	452	452	452 - COFFEE MAKERS OR TEAPOTS, NOT SPECIFIED
PROD	453	453	453 - CAN OPENERS, NOT SPECIFIED
PROD	454	454	454 - NONGLASS DRINKING GLASSES
PROD	459	459	459 - MANUAL CLEANING EQUIPMENT
PROD	460	460	460 - METAL COOKWARE (NONELECTRIC)
PROD	461	461	461 - NONMETAL COOKWARE (NONELECTRIC)
PROD	462	462	462 - CHAFING DISHES OR FONDUE POTS
PROD	463	463	463 - CANDLES, CANDLESTICKS AND OTHER CANDLE HOLDERS
PROD	464	464	464 - KNIVES, NOT ELSEWHERE CLASSIFIED
PROD	465	465	465 - OTHER COOKWARE
PROD	466	466	466 - COOKWARE, NOT SPECIFIED
PROD	469	469	469 - SLICERS AND CHOPPERS
PROD	471	471	471 - FOOD GRINDERS
PROD	474	474	474 - TABLEWARE AND ACCESSORIES
PROD	475	475	475 - DRINKING GLASSES, NOT SPECIFIED
PROD	477	477	477 - THERMOMETERS (EXCLUDING MEDICAL THERMOMETERS)
PROD	478	478	478 - DRINKING GLASSES, CUPS, AND MUGS
PROD	480	480	480 - MANUAL CLEANING EQUIPMENT (EXCL. BUCKETS AND PAILS)
PROD	481	481	481 - BREAD MAKING MACHINES
PROD	482	482	482 - APPLIANCES, OTHER AND NOT SPECIFIED
PROD	514	514	514 - CERAMICS SUPPLIES OR EQUIPMENT
PROD	519	519	519 - TELEVISION TABLES OR STANDS
PROD	529	529	529 - TELESCOPES, BINOCULARS, MICROSCOPES, MAGNIFYING GLASSES
PROD	530	530	530 - PHONOGRAPH RECORDS
PROD	531	531	531 - RECORDING TAPES
PROD	532	532	532 - GLASS BOTTLE CUTTING EQUIPMENT
PROD	533	533	533 - LAPIDARY EQUIPMENT
PROD	536	536	536 - PHOTOGRAPHIC EQUIPMENT
PROD	545	545	545 - AMATEUR TWO-WAY RADIOS
PROD	546	546	546 - STEREO OR HI-FI COMPONENTS OR ACCESSORIES
PROD	547	547	547 - SOUND RECORDING OR RECEIVING EQUIPMENT, NOT SPECIFIED
PROD	549	549	549 - PROJECTORS
PROD	550	550	550 - TELEPHONES OR TELEPHONE ACCESSORIES
PROD	552	552	552 - ANTENNAS, NOT SPECIFIED
PROD	555	555	555 - RADIOS (SELF-CONTAINED UNITS)
PROD	556	556	556 - TAPE RECORDERS OR PLAYERS (SELF-CONTAINED UNITS)
PROD	557	557	557 - COMPUTERS (EQUIPMENT AND ELECTRONIC GAMES)
PROD	558	558	558 - INDOOR ANTENNAS (SEPARATE)
PROD	559	559	559 - RADIOS, NOT SPECIFIED
PROD	561	561	561 - OUTDOOR ANTENNAS (SEPARATE)
PROD	562	562	562 - LASER POINTERS
PROD	563	563	563 - RECORD PLAYERS (SELF-CONTAINED UNITS)
PROD	564	564	564 - ART SUPPLIES OR EQUIPMENT
PROD	565	565	565 - MUSICAL INSTRUMENTS, ELECTRIC OR BATTERY OPERATED
PROD	566	566	566 - MUSICAL INSTRUMENTS, NOT ELECT. OR BATTERY OR NOT SPEC.
PROD	567	567	567 - COAXIAL CABLE
PROD	569	569	569 - ART OR CERAMICS SUPPLIES AND EQUIPMENT (EXCL. PAINTBRUSHES)
PROD	570	570	570 - MUSICAL INSTRUMENTS
PROD	571	571	571 - BUSINESS AND OFFICE MACHINES
PROD	572	572	572 - TELEVISIONS
PROD	573	573	573 - OTHER SOUND RECORDING, REPRODUCING OR RECEIVING EQUIP.
PROD	574	574	574 - REMOTE CONTROL, UNIVERSAL OR NS (EXCL. REMOTES FOR TOYS)
PROD	575	575	575 - COMPACT DISCS (CDS) AND DVDS
PROD	576	576	576 - VIDEO PLAYERS AND RECORDERS (EXCL CAMERAS)
PROD	601	601	601 - BEDSPRINGS OR BEDFRAMES
PROD	604	604	604 - DESKS, CHESTS, BUREAUS OR BUFFETS
PROD	606	606	606 - GENERATORS OR POWER PLANTS
PROD	609	609	609 - GLASS BATHTUB OR SHOWER ENCLOSURES
PROD	610	610	610 - NONGLASS BATHTUB OR SHOWER ENCLOSURES
PROD	611	611	611 - BATHTUBS OR SHOWERS
PROD	612	612	612 - RUNNERS, THROW RUGS OR DOORMATS
PROD	613	613	613 - ROOM-SIZED, WALL-TO-WALL OR OUTDOOR CARPETING
PROD	617	617	617 - DRAPERIES, CURTAINS, SHOWER CURTAINS(FABRIC OR PLASTIC)
PROD	618	618	618 - STEPLADDERS
PROD	619	619	619 - STRAIGHT LADDERS
PROD	620	620	620 - STEP STOOLS
PROD	623	623	623 - BUTANE OR LP GAS METERS
PROD	624	624	624 - ELECTRIC METERS (UTILITY)
PROD	627	627	627 - LIGHT BULBS
PROD	628	628	628 - ELECTRIC CHANDELIERS OR OTHER ATTACHED LIGHT FIXTURES
PROD	638	638	638 - WINDOW SHADES, VENETIAN BLINDS OR INDOOR SHUTTERS
PROD	639	639	639 - FLASHLIGHTS OR BATTERY-POWERED LANTERNS
PROD	648	648	648 - SINKS
PROD	649	649	649 - TOILETS
PROD	650	650	650 - SLIPCOVERS
PROD	651	651	651 - TABLE LINENS
PROD	652	652	652 - PICTURES, PICTURE FRAMES OR WALL DECORATIONS
PROD	653	653	653 - ARTIFICIAL FLOWERS OR PLANTS
PROD	654	654	654 - KNICKKNACKS, STATUES, VASES OR URNS
PROD	657	657	657 - TOWEL RACKS OR BARS
PROD	661	661	661 - BUNK BEDS
PROD	662	662	662 - WATERBEDS OR WATER PILLOWS
PROD	663	663	663 - FIREPLACE EQUIPMENT
PROD	666	666	666 - TOWELS OR CLOTHS
PROD	667	667	667 - BEDSPREADS, THROWS OR COMFORTERS
PROD	669	669	669 - CLOTHESPINS
PROD	670	670	670 - RECLINER CHAIR
PROD	671	671	671 - ROCKING CHAIR
PROD	672	672	672 - LAUNDRY HAMPERS
PROD	676	676	676 - RUGS OR CARPETS, NOT SPECIFIED
PROD	679	679	679 - SOFAS, COUCHES, DAVENPORTS, DIVANS OR STUDIO COUCHES
PROD	680	680	680 - CONVERTIBLE BEDS, HIDEAWAY BEDS OR SOFA BEDS
PROD	684	684	684 - UNATTACHED APPLIANCE OR LAMP CORDS
PROD	685	685	685 - EXTENSION CORDS
PROD	687	687	687 - BENCHES
PROD	688	688	688 - EXTENSION LADDERS
PROD	689	689	689 - BLANKETS, NOT SPECIFIED
PROD	692	692	692 - MAGAZINE RACKS OR BOOK ENDS
PROD	693	693	693 - FOOTLOCKERS
PROD	694	694	694 - BEDS, NOT SPECIFIED
PROD	698	698	698 - HOT TUBS OR HOME SPAS
PROD	699	699	699 - FAUCETS OR SPIGOTS
PROD	701	701	701 - FIRE EXTINGUISHERS
PROD	702	702	702 - FIRE OR SMOKE ALARMS
PROD	704	704	704 - BURGLAR ALARMS
PROD	706	706	706 - LIGHTNING RODS, ARRESTERS OR OTHER GROUNDING DEVICES
PROD	707	707	707 - PADLOCKS, CHAIN LOCKS OR OTHER LOCKS
PROD	709	709	709 - SAFES
PROD	710	710	710 - ELECTRIC TIMERS
PROD	711	711	711 - FIRE ESCAPE DEVICES
PROD	712	712	712 - CARBON MONOXIDE DETECTORS
PROD	713	713	713 - FIRE SPRINKLERS
PROD	714	714	714 - COMBINATION FIRE/SMOKE ALARM AND CARBON MONOXIDE DETECTORS
PROD	803	803	803 - POWER SANDERS
PROD	804	804	804 - POWER ROUTERS
PROD	805	805	805 - POWER LATHES
PROD	807	807	807 - POWER JOINTERS
PROD	808	808	808 - POWER SHAPERS
PROD	809	809	809 - OTHER PORTABLE OR STATIONARY POWER TOOLS
PROD	812	812	812 - ELECTRIC WELDING EQUIPMENT
PROD	814	814	814 - HOISTS, LIFTS, JACKS OR JACK STANDS
PROD	815	815	815 - ELECTRICAL TESTING EQUIPMENT
PROD	819	819	819 - ELECTRIC MOTORS (SEPARATE)
PROD	820	820	820 - INTERNAL COMBUSTION ENGINES (NONVEHICULAR)
PROD	821	821	821 - AUTOMOTIVE TOOLS OR ACCESSORIES
PROD	822	822	822 - PAINT SPRAYERS
PROD	823	823	823 - AIR COMPRESSORS (SEPARATE)
PROD	827	827	827 - HAMMERS
PROD	828	828	828 - SCREWDRIVERS
PROD	829	829	829 - MANUAL DRILLS
PROD	830	830	830 - HAND SAWS
PROD	831	831	831 - FUEL-BURNING WELDING EQUIPMENT
PROD	832	832	832 - PORTABLE CIRCULAR POWER SAWS
PROD	833	833	833 - WORKSHOP COMPOUNDS OR CHEMICALS
PROD	834	834	834 - HEAVY-DUTY WORKSHOP STAPLERS
PROD	835	835	835 - TOOLBOXES OR TOOL KITS
PROD	836	836	836 - KNIVES WITH REPLACEABLE BLADES
PROD	837	837	837 - WIRE, NOT SPECIFIED
PROD	841	841	841 - BENCH OR TABLE SAWS
PROD	842	842	842 - BAND SAWS
PROD	843	843	843 - RADIAL ARM SAWS
PROD	844	844	844 - POWER HACK SAWS
PROD	845	845	845 - SAWS, NOT SPECIFIED
PROD	847	847	847 - DRILLS, NOT SPECIFIED
PROD	852	852	852 - ROPE OR STRING
PROD	854	854	854 - WORKSHOP FURNISHINGS
PROD	855	855	855 - PORTABLE POWER DRILLS AND ACCESSORIES
PROD	856	856	856 - STATIONARY POWER DRILLS AND ACCESSORIES
PROD	857	857	857 - PLIERS, WIRE CUTTERS OR WRENCHES
PROD	858	858	858 - REAMERS
PROD	859	859	859 - SOLDERING EQUIPMENT, NOT SPECIFIED
PROD	862	862	862 - MANUAL FILING OR SANDING TOOLS
PROD	863	863	863 - OTHER POWER SAWS
PROD	864	864	864 - SABRE SAWS
PROD	865	865	865 - PORTABLE POWER WORKSHOP GRINDERS, BUFFERS, POLISHERS
PROD	866	866	866 - ELECTRIC SOLDERING EQUIPMENT
PROD	867	867	867 - WELDING EQUIPMENT, NOT SPECIFIED
PROD	868	868	868 - NONELECTRIC SOLDERING EQUIPMENT
PROD	869	869	869 - GLUE GUNS
PROD	870	870	870 - AWLS, CHISELS OR PLANES
PROD	871	871	871 - POWER DRILLS OR ACCESSORIES, NOT SPECIFIED
PROD	872	872	872 - POWER SAWS, NOT SPECIFIED
PROD	873	873	873 - STATIONARY POWER WORKSHOP GRINDERS, BUFFERS, POLISHERS
PROD	874	874	874 - CUTTING TORCHES
PROD	875	875	875 - JIGSAWS
PROD	876	876	876 - POWER WORKSHOP GRINDERS, BUFFERS, POLISHERS, N.S.
PROD	877	877	877 - TROUBLE LIGHTS OR EXTENSION WORK LIGHTS
PROD	878	878	878 - LEVELS
PROD	879	879	879 - VISES OR WORKSHOP CLAMPS
PROD	880	880	880 - DRAIN SNAKES
PROD	881	881	881 - OTHER MANUAL WORKSHOP TOOLS
PROD	882	882	882 - NAIL GUNS OR STUD DRIVERS
PROD	883	883	883 - BATTERY CHARGERS/ADAPTERS
PROD	884	884	884 - BATTERIES
PROD	885	885	885 - CHAINS, NOT ELSEWHERE CLASSIFIED
PROD	886	886	886 - STRETCH CORDS OR STRETCH STRAPS
PROD	887	887	887 - PAINTING EQUIP., POWERED (SPRAYERS, ROLLERS, BRUSHES)
PROD	888	888	888 - SPRAYERS, NOT ELSEWHERE CLASSIFIED
PROD	889	889	889 - BATTERIES (MOTOR VEHICLE)
PROD	890	890	890 - TORCHES, NOT SPECIFIED
PROD	891	891	891 - BATTERIES, NOT SPECIFIED
PROD	892	892	892 - NON-MOTOR VEHICLE BATTERIES
PROD	893	893	893 - TOOLS, NOT SPECIFIED
PROD	894	894	894 - HACKSAWS
PROD	895	895	895 - POWER SAWS, OTHER OR NOT SPECIFIED
PROD	896	896	896 - WELDING EQUIPMENT
PROD	897	897	897 - POWER WORKSHOP GRINDERS, BUFFERS OR POLISHERS
PROD	898	898	898 - MANUAL WORKSHOP GRINDERS, BUFFERS OR POLISHERS
PROD	899	899	899 - WORKSHOP GRINDERS, BUFFERS OR POLISHERS, N.S.
PROD	904	904	904 - FLOOR WAXES
PROD	905	905	905 - FURNITURE POLISHES OR WAXES
PROD	908	908	908 - PAINT THINNERS OR VARNISH THINNERS
PROD	909	909	909 - ADHESIVES
PROD	910	910	910 - GASOLINE
PROD	913	913	913 - LUBRICANTS
PROD	914	914	914 - DRY ICE
PROD	915	915	915 - METHYL ALCOHOL (SOLVENT)
PROD	917	917	917 - CHARCOAL
PROD	920	920	920 - CAULKING OR SPACKLING COMPOUNDS
PROD	921	921	921 - CHEMICALS, NOT ELSEWHERE CLASSIFIED
PROD	925	925	925 - PAINTBRUSHES OR ROLLERS, MANUAL
PROD	926	926	926 - PHOTOGRAPHIC CHEMICALS
PROD	927	927	927 - TAPES (WITH ADHESIVE SURFACES)
PROD	929	929	929 - DRAIN CLEANERS
PROD	930	930	930 - AMMONIA, HOUSEHOLD
PROD	931	931	931 - METAL POLISHES, TARNISH REMOVERS OR PREVENTATIVES
PROD	932	932	932 - SHOE POLISHES
PROD	933	933	933 - TURPENTINE
PROD	934	934	934 - DISHWASHER DETERGENTS
PROD	936	936	936 - ACIDS
PROD	937	937	937 - RUST REMOVERS
PROD	938	938	938 - SWIMMING POOL CHEMICALS
PROD	940	940	940 - LIGHTER FLUIDS
PROD	941	941	941 - FUELS FOR CHAFING DISHES OR FONDUE POTS
PROD	942	942	942 - OVEN CLEANERS
PROD	943	943	943 - MOTH REPELLENTS
PROD	945	945	945 - PINE OIL CLEANING AND DISINFECTANT PREPARATIONS
PROD	949	949	949 - LAUNDRY SOAPS OR DETERGENTS
PROD	951	951	951 - TOILET BOWL PRODUCTS
PROD	952	952	952 - FABRIC TREATMENT PRODUCTS
PROD	953	953	953 - ABRASIVE CLEANERS
PROD	954	954	954 - GENERAL PURPOSE HOUSEHOLD CLEANERS
PROD	955	955	955 - AUTOMOTIVE CHEMICALS
PROD	956	956	956 - BLEACHES (NONCOSMETIC)
PROD	957	957	957 - DYES (NONCOSMETIC)
PROD	958	958	958 - OTHER POLISHES
PROD	959	959	959 - POLISHES, NOT SPECIFIED
PROD	960	960	960 - PAINTS, VARNISHES OR SHELLACS
PROD	961	961	961 - RUST PREVENTATIVES
PROD	962	962	962 - DIESEL FUELS
PROD	963	963	963 - KEROSENE
PROD	964	964	964 - LAMP OILS
PROD	965	965	965 - FUEL OILS, NOT SPECIFIED
PROD	966	966	966 - ANTIFREEZE
PROD	967	967	967 - WINDSHIELD WIPER FLUIDS
PROD	968	968	968 - CAUSTICS
PROD	969	969	969 - LYE
PROD	970	970	970 - WALLPAPER CLEANERS (CHEMICAL)
